File Name,BldgLoc,BldgType,Story,BldgHVAC,BldgVint,TechGroup,TechType,TechID,Cohort,Case,Net Site EUI,Net Source EUI,Total Energy/Net Site Energy,Total Energy/Net Source Energy,Total,Heating,Cooling,Interior Lighting,Exterior Lighting,Interior Equipment,Exterior Equipment,Fans,Pumps,Heat Rejection,Humidification,Heat Recovery,Water Systems,Refrigeration,Generators,Heating Elec,Cooling Elec,Heating NG,Cooling NG,Interior Equipment Elec,Interior Equipment NG,Unmet Heating,Unmet Cooling,Conditioned Area,Electricity:Facility [J](Hourly)
runs/CZ10/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +15% RCA LSC R22 R410a rDXGF Measure/instance-out.sql,CZ10,SFm,1,rDXGF,Ex,dxAC_equip,,LRM AOE +15% RCA LSC R22 R410a rDXGF Measure,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Measure,38.2,73.87,29384.17,56811.88,29384.18,3580.37,1157.47,1557.5,457.71,10338.53,0.0,541.5,0.0,0.0,0.0,0.0,11751.09,0.0,0.0,0.0,1157.47,3580.37,0.0,8268.27,2070.26,0.0,0.0,270.12,13173156.60174027
runs/CZ10/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXGF Measure/instance-out.sql,CZ10,SFm,1,rDXGF,Ex,dxAC_equip,,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Measure,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Measure,37.93,73.0,29172.75,56142.3,29172.75,3580.37,946.05,1557.5,457.71,10338.53,0.0,541.5,0.0,0.0,0.0,0.0,11751.09,0.0,0.0,0.0,946.05,3580.37,0.0,8268.27,2070.26,0.0,0.0,270.12,12159354.63612881
runs/CZ10/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +30% RCA LSC R22 R410a rDXGF Measure/instance-out.sql,CZ10,SFm,1,rDXGF,Ex,dxAC_equip,,LRM AOE +30% RCA LSC R22 R410a rDXGF Measure,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +30% RCA LSC R22 R410a rDXGF Measure,37.65,72.12,28961.33,55472.73,28961.329999999998,3580.37,734.63,1557.5,457.71,10338.53,0.0,541.5,0.0,0.0,0.0,0.0,11751.09,0.0,0.0,0.0,734.63,3580.37,0.0,8268.27,2070.26,0.0,0.0,270.12,11145552.670985729
runs/CZ10/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +40% RCA LSC R22 R410a rDXGF Measure/instance-out.sql,CZ10,SFm,1,rDXGF,Ex,dxAC_equip,,LRM AOE +40% RCA LSC R22 R410a rDXGF Measure,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +40% RCA LSC R22 R410a rDXGF Measure,37.29,70.96,28679.43,54579.96,28679.43,3580.37,452.73,1557.5,457.71,10338.53,0.0,541.5,0.0,0.0,0.0,0.0,11751.09,0.0,0.0,0.0,452.73,3580.37,0.0,8268.27,2070.26,0.0,0.0,270.12,9793816.71739705
runs/CZ10/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXGF Measure/instance-out.sql,CZ10,SFm,1,rDXGF,Ex,dxAC_equip,,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Measure,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Measure,38.48,74.74,29595.6,57481.46,29595.600000000002,3580.37,1368.9,1557.5,457.71,10338.53,0.0,541.5,0.0,0.0,0.0,0.0,11751.09,0.0,0.0,0.0,1368.9,3580.37,0.0,8268.27,2070.26,0.0,0.0,270.12,14186958.56650241
runs/CZ10/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE LSC R22 R410a rDXGF Measure/instance-out.sql,CZ10,SFm,1,rDXGF,Ex,dxAC_equip,,LRM AOE LSC R22 R410a rDXGF Measure,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE LSC R22 R410a rDXGF Measure,38.56,74.99,29657.61,57677.87,29657.62,3580.37,1430.91,1557.5,457.71,10338.53,0.0,541.5,0.0,0.0,0.0,0.0,11751.09,0.0,0.0,0.0,1430.91,3580.37,0.0,8268.27,2070.26,0.0,0.0,270.12,14484340.47720485
runs/CZ10/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE R22 R410a rDXGF Base/instance-out.sql,CZ10,SFm,1,rDXGF,Ex,dxAC_equip,,LRM AOE R22 R410a rDXGF Base,SFm&1&rDXGF&Ex&dxAC_equip,LRM AOE R22 R410a rDXGF Base,38.75,75.61,29807.02,58151.03,29807.02,3580.37,1580.32,1557.5,457.71,10338.53,0.0,541.5,0.0,0.0,0.0,0.0,11751.09,0.0,0.0,0.0,1580.32,3580.37,0.0,8268.27,2070.26,0.0,0.0,270.12,15200760.531715462
runs/CZ10/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +15% RCA LSC R22 R410a rDXHP Measure/instance-out.sql,CZ10,SFm,1,rDXHP,Ex,dxHP_equip,,LRM AOE +15% RCA LSC R22 R410a rDXHP Measure,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE +15% RCA LSC R22 R410a rDXHP Measure,35.11,73.77,27004.89,56735.34,27004.89,1249.2,1157.52,1557.5,457.71,10338.53,0.0,493.69,0.0,0.0,0.0,0.0,11750.73,0.0,0.0,1249.2,1157.52,0.0,0.0,8268.27,2070.26,0.0,0.0,270.12,13173145.134180285
runs/CZ10/SFm&1&rDXGF&Ex&dxAC_equip/LRM NR LSC R454b rDXGF Measure/instance-out.sql,CZ10,SFm,1,rDXGF,Ex,dxAC_equip,,LRM NR LSC R454b rDXGF Measure,SFm&1&rDXGF&Ex&dxAC_equip,LRM NR LSC R454b rDXGF Measure,38.38,74.42,29517.72,57234.82,29517.719999999998,3580.37,1291.02,1557.5,457.71,10338.53,0.0,541.5,0.0,0.0,0.0,0.0,11751.09,0.0,0.0,0.0,1291.02,3580.37,0.0,8268.27,2070.26,0.0,0.0,270.12,13813530.796044962
runs/CZ10/SFm&1&rDXGF&Ex&dxAC_equip/LRM NR R454b rDXGF Base/instance-out.sql,CZ10,SFm,1,rDXGF,Ex,dxAC_equip,,LRM NR R454b rDXGF Base,SFm&1&rDXGF&Ex&dxAC_equip,LRM NR R454b rDXGF Base,38.55,74.97,29652.52,57661.73,29652.52,3580.37,1425.82,1557.5,457.71,10338.53,0.0,541.5,0.0,0.0,0.0,0.0,11751.09,0.0,0.0,0.0,1425.82,3580.37,0.0,8268.27,2070.26,0.0,0.0,270.12,14459909.784122827
runs/CZ10/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +40% RCA LSC R22 R410a rDXHP Measure/instance-out.sql,CZ10,SFm,1,rDXHP,Ex,dxHP_equip,,LRM AOE +40% RCA LSC R22 R410a rDXHP Measure,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE +40% RCA LSC R22 R410a rDXHP Measure,33.88,69.87,26058.07,53736.76,26058.07,1007.15,452.75,1557.5,457.71,10338.53,0.0,493.69,0.0,0.0,0.0,0.0,11750.73,0.0,0.0,1007.15,452.75,0.0,0.0,8268.27,2070.26,0.0,0.0,270.12,9793810.753718156
runs/CZ10/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXHP Measure/instance-out.sql,CZ10,SFm,1,rDXHP,Ex,dxHP_equip,,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Measure,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Measure,35.48,74.94,27288.93,57634.91,27288.93,1321.82,1368.95,1557.5,457.71,10338.53,0.0,493.69,0.0,0.0,0.0,0.0,11750.73,0.0,0.0,1321.82,1368.95,0.0,0.0,8268.27,2070.26,0.0,0.0,270.12,14186945.447778098
runs/CZ10/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXHP Measure/instance-out.sql,CZ10,SFm,1,rDXHP,Ex,dxHP_equip,,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Measure,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Measure,34.74,72.6,26720.84,55835.76,26720.84,1176.59,946.08,1557.5,457.71,10338.53,0.0,493.69,0.0,0.0,0.0,0.0,11750.73,0.0,0.0,1176.59,946.08,0.0,0.0,8268.27,2070.26,0.0,0.0,270.12,12159344.819733154
runs/CZ10/SFm&1&rDXHP&Ex&dxHP_equip/LRM NR R32 R454b rDXHP Base/instance-out.sql,CZ10,SFm,1,rDXHP,Ex,dxHP_equip,,LRM NR R32 R454b rDXHP Base,SFm&1&rDXHP&Ex&dxHP_equip,LRM NR R32 R454b rDXHP Base,35.3,74.37,27150.78,57197.39,27150.78,1126.74,1425.87,1557.5,457.71,10338.53,0.0,493.69,0.0,0.0,0.0,0.0,11750.73,0.0,0.0,1126.74,1425.87,0.0,0.0,8268.27,2070.26,0.0,0.0,270.12,14459896.220846884
runs/CZ10/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +30% RCA LSC R22 R410a rDXHP Measure/instance-out.sql,CZ10,SFm,1,rDXHP,Ex,dxHP_equip,,LRM AOE +30% RCA LSC R22 R410a rDXHP Measure,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE +30% RCA LSC R22 R410a rDXHP Measure,34.37,71.43,26436.8,54936.19,26436.8,1103.97,734.65,1557.5,457.71,10338.53,0.0,493.69,0.0,0.0,0.0,0.0,11750.73,0.0,0.0,1103.97,734.65,0.0,0.0,8268.27,2070.26,0.0,0.0,270.12,11145544.505754396
runs/CZ10/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE R22 R410a rDXHP Base/instance-out.sql,CZ10,SFm,1,rDXHP,Ex,dxHP_equip,,LRM AOE R22 R410a rDXHP Base,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE R22 R410a rDXHP Base,35.85,76.11,27572.98,58534.48,27572.98,1394.43,1580.38,1557.5,457.71,10338.53,0.0,493.69,0.0,0.0,0.0,0.0,11750.73,0.0,0.0,1394.43,1580.38,0.0,0.0,8268.27,2070.26,0.0,0.0,270.12,15200745.761826823
runs/CZ10/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE LSC R22 R410a rDXHP Measure/instance-out.sql,CZ10,SFm,1,rDXHP,Ex,dxHP_equip,,LRM AOE LSC R22 R410a rDXHP Measure,SFm&1&rDXHP&Ex&dxHP_equip,LRM AOE LSC R22 R410a rDXHP Measure,35.59,75.28,27372.25,57898.78,27372.25,1343.12,1430.97,1557.5,457.71,10338.53,0.0,493.69,0.0,0.0,0.0,0.0,11750.73,0.0,0.0,1343.12,1430.97,0.0,0.0,8268.27,2070.26,0.0,0.0,270.12,14484326.874139003
runs/CZ10/SFm&2&rDXGF&Ex&dxAC_equip/LRM AOE +40% RCA LSC R22 R410a rDXGF Measure/instance-out.sql,CZ10,SFm,2,rDXGF,Ex,dxAC_equip,,LRM AOE +40% RCA LSC R22 R410a rDXGF Measure,SFm&2&rDXGF&Ex&dxAC_equip,LRM AOE +40% RCA LSC R22 R410a rDXGF Measure,48.9,96.72,43576.94,86194.16,43576.94,9881.71,1412.68,1774.64,457.71,16701.91,0.0,1616.91,0.0,0.0,0.0,0.0,11731.37,0.0,0.0,0.0,1412.68,9881.71,0.0,13440.28,3261.63,0.0,0.0,540.12,18599558.743186083
runs/CZ10/SFm&1&rDXHP&Ex&dxHP_equip/LRM NR LSC R32 R454b rDXHP Measure/instance-out.sql,CZ10,SFm,1,rDXHP,Ex,dxHP_equip,,LRM NR LSC R32 R454b rDXHP Measure,SFm&1&rDXHP&Ex&dxHP_equip,LRM NR LSC R32 R454b rDXHP Measure,35.07,73.64,26975.21,56641.33,26975.21,1085.97,1291.07,1557.5,457.71,10338.53,0.0,493.69,0.0,0.0,0.0,0.0,11750.73,0.0,0.0,1085.97,1291.07,0.0,0.0,8268.27,2070.26,0.0,0.0,270.12,13813518.28551696
runs/CZ10/SFm&2&rDXGF&Ex&dxAC_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXGF Measure/instance-out.sql,CZ10,SFm,2,rDXGF,Ex,dxAC_equip,,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Measure,SFm&2&rDXGF&Ex&dxAC_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Measure,50.63,102.19,45116.28,91069.24,45116.28,9881.71,2952.02,1774.64,457.71,16701.91,0.0,1616.91,0.0,0.0,0.0,0.0,11731.37,0.0,0.0,0.0,2952.02,9881.71,0.0,13440.28,3261.63,0.0,0.0,540.12,24731084.146625757
