skip,case_name,:vfd_curve_name,:supplyfan_total_eff,:motor_eff,:cooling_coil_cop,:cooling_coil_cop2,:coil_type,:hvac_type,:heating_coil_cop
,LRM AOE +15% RCA LSC R22 R410a rDXHP Measure,,0.12,0.24,4.409977745,,,unitary_system,2.307129593
,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Measure,,0.12,0.24,5.395518212,,,unitary_system,2.461501516
,LRM AOE +30% RCA LSC R22 R410a rDXHP Measure,,0.12,0.24,6.948328529,,,unitary_system,2.638013126
,LRM AOE +40% RCA LSC R22 R410a rDXHP Measure,,0.12,0.24,11.27478358,,,unitary_system,2.916903813
,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Measure,,0.12,0.24,3.72886639,,,unitary_system,2.170977734
,LRM AOE LSC R22 R410a rDXHP Measure,,0.12,0.24,3.567253102,,,unitary_system,2.134036212
,LRM AOE R22 R410a rDXHP Base,,0.12,0.24,3.23,,,unitary_system,2.05
,LRM NR LSC R32 R454b rDXHP Measure,,0.12,0.24,3.953797556,,,unitary_system,2.685762647
,LRM NR R32 R454b rDXHP Base,,0.12,0.24,3.58,,,unitary_system,2.58
