TechID,SizingID,BldgType,BldgVint,BldgLoc,BldgHVAC,tstat,normunit,numunits,measarea,kwh_tot,kwh_ltg,kwh_task,kwh_equip,kwh_htg,kwh_clg,kwh_twr,kwh_aux,kwh_vent,kwh_venthtg,kwh_ventclg,kwh_refg,kwh_hpsup,kwh_shw,kwh_ext,thm_tot,thm_equip,thm_htg,thm_shw,deskw_ltg,deskw_equ,lastmod
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-AOE,None,MFm,Ex,CZ15,rDXGF,0,Area-ft2-BA,1024.1666666666667,24576,157449.90999999997,14740.46,0,59678.04,0.0,70211.05,0,0,12820.36,0,0,0,0,0,0,5862.279180887372,486.92901023890784,558.7245733788395,4816.625597269624,1,1,2026-08-17 09:01:46.635347
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-AOE,None,MFm,Ex,CZ16,rDXGF,0,Area-ft2-BA,1024.1666666666667,24576,86386.96999999999,14740.46,0,59678.04,0.0,8699.33,0,0,3269.14,0,0,0,0,0,0,7632.054266211604,486.92901023890784,2106.9,5038.225255972696,1,1,2026-08-17 09:01:46.635347
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,None,MFm,Ex,CZ01,rDXHP,0,Area-ft2-BA,1024.1666666666667,24576,91309.93,14740.46,0,59678.04,14775.01,1334.98,0,0,781.44,0,0,0,0,0,0,5608.5078498293515,486.92901023890784,0.0,5121.578839590444,1,1,2026-08-17 09:01:46.635347
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,None,MFm,Ex,CZ02,rDXHP,0,Area-ft2-BA,1024.1666666666667,24576,105800.85,14740.46,0,59678.04,22227.73,6903.05,0,0,2251.57,0,0,0,0,0,0,5484.729351535835,486.92901023890784,0.0,4997.800341296927,1,1,2026-08-17 09:01:46.635347
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,None,MFm,Ex,CZ03,rDXHP,0,Area-ft2-BA,1024.1666666666667,24576,110615.42,14740.46,0,59678.04,24626.35,9338.31,0,0,2232.26,0,0,0,0,0,0,5503.294880546075,486.92901023890784,0.0,5016.365870307167,1,1,2026-08-17 09:01:46.635347
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,None,MFm,Ex,CZ04,rDXHP,0,Area-ft2-BA,1024.1666666666667,24576,130763.04999999999,14740.46,0,59678.04,34787.8,16657.94,0,0,4898.81,0,0,0,0,0,0,5424.146757679181,486.92901023890784,0.0,4937.217747440273,1,1,2026-08-17 09:01:46.635347
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,None,MFm,Ex,CZ05,rDXHP,0,Area-ft2-BA,1024.1666666666667,24576,110486.35,14740.46,0,59678.04,25481.13,7954.6,0,0,2632.12,0,0,0,0,0,0,5494.17337883959,486.92901023890784,0.0,5007.244368600683,1,1,2026-08-17 09:01:46.635347
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,None,MFm,Ex,CZ06,rDXHP,0,Area-ft2-BA,1024.1666666666667,24576,100354.98,14740.46,0,59678.04,13108.95,10306.61,0,0,2520.92,0,0,0,0,0,0,5427.633447098976,486.92901023890784,0.0,4940.704436860068,1,1,2026-08-17 09:01:46.635347
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,None,MFm,Ex,CZ07,rDXHP,0,Area-ft2-BA,1024.1666666666667,24576,95014.29000000001,14740.46,0,59678.04,10240.8,8252.43,0,0,2102.56,0,0,0,0,0,0,5411.334129692833,486.92901023890784,0.0,4924.405119453925,1,1,2026-08-17 09:01:46.635347
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,None,MFm,Ex,CZ08,rDXHP,0,Area-ft2-BA,1024.1666666666667,24576,113277.19,14740.46,0,59678.04,11603.15,22317.36,0,0,4938.18,0,0,0,0,0,0,5381.8006825938555,486.92901023890784,0.0,4894.871672354949,1,1,2026-08-17 09:01:46.635347
